WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building;location;landuse/operator;operator/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((489343.527492337 5235071.23388265,488052.82127719 5229705.71259099));Sankt_Marein-Feistritz;8733;Am Kirchbichl 4;47,2690342;14,8591217;92340887;substation;Umspannwerk Knittelfeld/Ost;;;Kobenz;5518,581454
MULTILINESTRING ((556577.146324508 5210428.03091748,555078.168000178 5215548.27010166));Sankt_Margarethen_an_der_Raab;8321;St. Margarethen an der Raab 163;47,0449466;15,744812;83742801;substation;Umspannwerk Oststeiermark/Wünschendorf;"Verbund Austrian Power Grid AG;STEWEAG-STEG";"380000;110000";Hofstätten an der Raab;5335,146232
MULTILINESTRING ((489161.06297181 5230583.47328461,488052.82127719 5229705.71259099));Sankt_Margarethen_bei_Knittelfeld;8715;Dorfstra�e 19;47,2286488;14,8568184;92340887;substation;Umspannwerk Knittelfeld/Ost;;;Kobenz;1413,740955
MULTILINESTRING ((507948.939016796 5206290.11574218,512122.327746346 5207225.28682214));Sankt_Martin_am_W�llmi�berg;8580;St. Martin a. W. 64;47,0100849;15,1045758;41970883;;Kraftwerk Arnstein;Kraftwerk Arnstein;30 MW;Krottendorf-Gaisfeld;4276,881859
MULTILINESTRING ((522492.112303936 5178200.28759696,521456.560905853 5177591.05285445));Sankt_Martin_im_Sulmtal;8551;Sulb 72;46,7569748;15,2945166;89555133;substation;Umspannwerk Bergla;STEWEAG;110000;St. Martin im Sulmtal;1201,47146
MULTILINESTRING ((501072.876963095 5243404.10258758,500133.539313568 5245036.90258304));Sankt_Michael_in_Obersteiermark;8713;Hauptstra�e 64;47,3441014;15,0142035;92220396;substation;Umspannwerk Sankt Michael;STEWEAG-STEG;;Traboch;1883,717347
MULTILINESTRING ((534303.188159004 5185321.8416545,526958.915274542 5189041.96986963));Sankt_Nikolai_im_Sausal;8521;St. Nikolai im Sausal 5;46,8205579;15,4497028;103800075;substation;Umspannwerk Preding;;;Wettmannstätten;8232,721187
MULTILINESTRING ((521352.573595716 5215116.44398158,525034.810548244 5221266.66299532));Sankt_Oswald_bei_Plankenwarth;8113;Sankt Oswald 70;47,0892125;15,2813291;96168202;substation;Umspannwerk Friesach;STEWEAG;;Gratkorn;7168,267775
MULTILINESTRING ((438416.834638167 5226292.18566748,429079.706627848 5217624.98832818));Sankt_Peter_am_Kammersberg;8843;St. Peter 82;47,1872396;14,1871216;92686645;substation;Kraftwerk Bodendorf-Mur;;;St. Georgen am Kreischberg;12739,79078
MULTILINESTRING ((557928.953444014 5183139.21511779,559794.104002251 5176473.13428604));Sankt_Peter_am_Ottersbach;8342;Petersplatz 2 ;46,7992822;15,7591298;103401933;substation;Umspannwerk Gosdorf;;;Mureck;6922,096522
MULTILINESTRING ((519220.001212711 5178328.56324263,521456.560905853 5177591.05285445));Sankt_Peter_im_Sulmtal;8542;Sankt Peter im Sulmtal 46;46,7582314;15,2516767;89555133;substation;Umspannwerk Bergla;STEWEAG;110000;St. Martin im Sulmtal;2355,020347
MULTILINESTRING ((468797.772730564 5225844.05877653,468997.590382546 5229036.96292286));Sankt_Peter_ob_Judenburg;8755;Hauptstra�e 17;47,1853507;14,5881558;328978916;substation;Umspannwerk Pöls (i.b.);;;Pöls-Oberkurzheim;3199,150509
MULTILINESTRING ((502453.334376348 5249453.39729998,501569.320339818 5249278.20985183));Sankt_Peter-Freienstein;8792;Gemeindegasse 1;47,3985303;15,0325124;88680218;substation;Umspannwerk Hessenberg;Verbund Austrian Power Grid AG;"220000;110000";St. Peter-Freienstein;901,2055586
MULTILINESTRING ((537083.634891959 5225398.45065483,547799.430914718 5228348.97073074));Sankt_Radegund_bei_Graz;8061;Hauptstra�e 10;47,1810357;15,4894345;79122729;substation;Umspannwerk Weiz;;;Weiz;11114,5784
