WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;name;substation/voltage;building/operator;Polit. Gemeinde;distance
MULTILINESTRING ((401578.569878649 5215100.57502436,395386.145183704 5216562.7732649));Sankt_Margarethen_im_Lungau;5581;St. Margarethen 73;47,0820759;13,7034221;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;6362,715403
MULTILINESTRING ((396595.057067883 5217045.15870509,395386.145183704 5216562.7732649));Sankt_Michael_im_Lungau;5582;Marktplatz 1;47,0988076;13,637343;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;1301,600421
MULTILINESTRING ((386001.749308339 5217260.3937353,395386.145183704 5216562.7732649));Muhr;5583;Vordermuhr 5;47,0989982;13,4977382;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;9410,290127
MULTILINESTRING ((385997.47832024 5223503.22985271,395386.145183704 5216562.7732649));Zederhaus;5584;Zederhaus 25;47,15515466;13,49609961;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;11675,48728
MULTILINESTRING ((404466.770833881 5218463.33382508,395386.145183704 5216562.7732649));Unternberg;5585;Am Dorfplatz 12;47,1127531;13,7407478;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;9277,386089
MULTILINESTRING ((404749.379467036 5211775.26696646,395386.145183704 5216562.7732649));Thomatal;5592;Thomatal 1;47,05262498;13,74588505;86499892;Umspannwerk Lungau;substation;"110000;30000";Salzburg AG;St. Michael im Lungau;10516,19574
MULTILINESTRING ((364354.93872151 5245565.30855475,359276.632633128 5241896.80183696));Sankt_Johann_im_Pongau;5602;Hauptstraße 18;47,3494772;13,2040292;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;6264,753328
MULTILINESTRING ((372186.115814437 5244115.82586155,378047.620626944 5246953.55220775));Wagrain;5602;Markt 14;47,33801762;13,30808453;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;6512,290648
MULTILINESTRING ((372887.888050956 5237420.69666362,378047.620626944 5246953.55220775));Kleinarl;5603;Dorf 30;47,2779357;13,31928055;102151229;Umspannwerk Reitdorf;substation;110000;Salzburg AG;Flachau;10839,65752
MULTILINESTRING ((363812.691845669 5233195.58559167,359276.632633128 5241896.80183696));Großarl;5611;Marktplatz 1;47,2381131;13,2006323;83803297;Umspannwerk Flusskraftwerk Schwarzach (i.b.);substation;110000;;Schwarzach im Pongau;9812,593812
