WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;power;location/operator;substation/voltage;landuse/name;Polit. Gemeinde;distance
MULTILINESTRING ((390977.570569975 5184517.74846401,386997.317265755 5182882.01236436));Millstatt_am_See;9872;Marktplatz 8;46,8052858;13,5711504;86385664;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Spittal an der Drau;Spittal an der Drau;4303,26027
MULTILINESTRING ((457756.545049226 5190194.89190747,459152.879004625 5189815.36102072));M�lbling;9341;M�lbling Nr. 16;46,8639522;14,4457568;97348720;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Treibach;Althofen;1446,994198
MULTILINESTRING ((436791.095482459 5167406.28014443,439610.716988673 5171039.34811945));Moosburg;9062;Kirchplatz 1;46,65723345;14,1738506;85405514;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Windischbach;Moosburg;4598,852938
MULTILINESTRING ((341168.05793044 5198598.07666651,344666.70333647 5206678.13334882));M�rtschach;9842;M�rtschach 42;46,921903;12,9138166;592473581;substation;KELAG;110000;KW Zirknitz;Großkirchheim;8804,989249
MULTILINESTRING ((374115.171462514 5190530.90288845,372563.117257172 5192181.57937922));M�hldorf;9814;M�hldorf 10;46,8564042;13,3485826;83805040;substation;;"220000;110000";KW Malta-Hauptstufe;Spittal an der Drau;2265,746043
MULTILINESTRING ((491361.712608289 5165434.30831691,490400.052837943 5167220.1679619));Neuhaus;9155;Neuhaus 12;46,642414;14,8871274;87372613;substation;Verbund Hydro Power GmbH;110000;Kraftwerk Schwabeck;Lavamünd;2028,320533
MULTILINESTRING ((394398.874460829 5160398.65182506,399932.881074731 5157253.67757869));N�tsch_im_Gailtal;9611;Nr. 222;46,5888463;13,6215106;85387757;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gailitz;Arnoldstein;6365,225229
MULTILINESTRING ((344959.315349179 5179189.3869478,344722.04705577 5178504.28599813));Oberdrauburg;9781;Marktplatz 1;46,7482502;12,9701664;85489932;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Oberdrauburg;Oberdraunburg;725,0238302
MULTILINESTRING ((362983.047023052 5199376.8842999,356136.885434797 5199562.05617431));Obervellach;9821;Obervellach 21;46,9337698;13,19995538;83823298;substation;;110000;Kraftwerk Außerfragant;Flattach;6848,665353
MULTILINESTRING ((422262.697447782 5169673.24430379,415294.552265776 5164793.75541872));Ossiach;9570;Ossiach 8;46,6761028;13,9836077;84014731;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Landskron;Villach;8506,730221
MULTILINESTRING ((396154.820272754 5173895.13166746,392511.992338592 5177208.98581948));Paternion;9711;Hauptstra�e 83;46,71054515;13,6413881;84006669;substation;KELAG;110000;Kraftwerk Kamering;Stockenboi;4924,614168
MULTILINESTRING ((457988.382254411 5166529.1469059,455718.279939933 5168357.67385651));Poggersdorf;9130;Hauptplatz 1;46,6510052;14,4509658;95848249;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Lassendorf;Magdalensberg;2914,940021
MULTILINESTRING ((434666.230922853 5164964.57353371,429019.326153566 5163638.70613635));P�rtschach_am_W�rther_See;9210;Hauptstra�e 153;46,6350583;14,1464271;85391848;substation;Kelag;110000;Umspannwerk Techelsbergen am Wörthersee (i.b.);Techelsbergen am Wörther See;5800,470483
MULTILINESTRING ((494944.196927391 5198711.71554578,483719.772881721 5201949.66402642));Preitenegg;9451;Preitenegg 5;46,94191686;14,93357061;742484357;substation;;110000;UW Sankt Leonhard;Bad St. Leonhard im Lavanttal;11682,12333
MULTILINESTRING ((400864.218455629 5183715.48172909,399892.248960075 5183656.3595093));Radenthein;9873;Hauptstra�e 65;46,7996121;13,700863;598622572;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Radenthein;Radenthein;973,7659561
MULTILINESTRING ((344026.245671004 5191962.32833725,344722.04705577 5178504.28599813));Rangersdorf;9833;Nr. 40;46,86290428;12,95360498;85489932;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Oberdrauburg;Oberdraunburg;13476,01733
MULTILINESTRING ((415656.864055284 5189559.4241866,406295.841452565 5184848.93890128));Reichenau;9564;Ebene Reichenau 80;46,8542282;13,89359645;129009559;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Kleinkirchheim;Bad Kleinkirchheim;10479,38051
MULTILINESTRING ((480621.04855767 5205981.58074918,483719.772881721 5201949.66402642));Reichenfels;9463;Liftstra�e 1;47,00707245;14,74506588;742484357;substation;;110000;UW Sankt Leonhard;Bad St. Leonhard im Lavanttal;5085,119949
MULTILINESTRING ((370761.094928923 5192805.61712353,371402.952460482 5192368.95462496));Rei�eck;9816;Unterkolbnitz 50;46,8762222;13,30395715;83805050;substation;Verbund Hydro Power GmbH;110000;KW Reißeck;Spittal an der Drau;776,3087198
MULTILINESTRING ((394514.432043947 5208088.69399501,393916.838056523 5209358.46867792));Rennweg_am_Katschberg;9862;Rennweg 51;47,0179056;13,6120258;86415777;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Rennweg;Rennweg am Katschberg;1403,36963
MULTILINESTRING ((425103.414908699 5160237.54660921,425433.50464315 5157591.34160968));Rosegg;9232;Schlossallee 2;46,591524;14,022274;86166232;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Rosegg;St. Jakob im Rosental;2666,713358
MULTILINESTRING ((482393.798289862 5167009.88514733,483512.917393796 5163889.78061379));Ruden;9113;Obermitterdorf 30;46,6564174;14,76988831;87264584;substation;KNG-Kärnten Netz GmbH;;Umspannwerk Bleiburg (i.b.);Bleiburg;3314,736772
MULTILINESTRING ((374233.20405204 5187380.28635194,374898.235240421 5187932.93315579));Sachsenburg;9751;Marktplatz 12;46,82808585;13,35099796;83892416;substation;;110000;KW Malta-Unterstufe;Lurnfeld;864,6877884
MULTILINESTRING ((486376.785195719 5179434.24676735,487627.731588587 5179849.77635087));Sankt_Andr�;9433;St. Andr� 210;46,76831925;14,82157725;88381335;substation;;110000;Umspannwerk Sankt Andrä;St. Andrä;1318,154662
MULTILINESTRING ((458582.12275135 5179617.31213022,452241.660496763 5178815.93415521));Sankt_Georgen_am_L�ngsee;9313;Hauptstra�e 24;46,7688202;14,4575461;84880037;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk St. Veit an der Glan;St. Veit an der Glan;6390,905121
MULTILINESTRING ((493600.102236987 5173897.37014824,496641.651510667 5168817.99812914));Sankt_Georgen_im_Lavanttal;9423;Dorfplatz 10;46,7186004;14,9162578;137946515;substation;;110000;Umspannwerk Ettendorf;Lavamünd;5920,392056
MULTILINESTRING ((428608.629232145 5154889.31061394,425433.50464315 5157591.34160968));Sankt_Jakob_im_Rosental;9184;Nr. 60;46,5437811;14,0688499;86166232;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Rosegg;St. Jakob im Rosental;4169,21907
MULTILINESTRING ((467517.174334537 5162395.59012824,470862.982915631 5167552.83764191));Sankt_Kanzian_am_Klopeiner_See;9122;Klopeiner Stra�e 5;46,6143367;14,5757808;86258560;substation;KNG-Kärnten Netz GmbH;;Umspannwerk Völkermarkt;Völkermarkt;6147,490299
MULTILINESTRING ((455415.432452966 5154312.05820691,453673.104403402 5154790.83042546));Sankt_Margareten_im_Rosental;9173;St. Margareten 9;46,5408981;14,4185198;153783851;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Sankt Margareten;St. Margareten im Rosental;1806,911694
MULTILINESTRING ((490047.147737048 5171963.50515305,490400.052837943 5167220.1679619));Sankt_Paul_im_Lavanttal;9470;Platz St. Blasien 1;46,7011537;14,8698096;87372613;substation;Verbund Hydro Power GmbH;110000;Kraftwerk Schwabeck;Lavamünd;4756,447174
MULTILINESTRING ((386555.781145259 5164136.90944151,387587.984161216 5160292.16264019));Sankt_Stefan_im_Gailtal;9623;Schm�lzing 7;46,6211978;13,5182457;85586885;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Vorderberg;St. Stefan im Gailtal;3980,894502
MULTILINESTRING ((436646.095962361 5177773.23436615,430492.718840136 5174417.04056659));Sankt_Urban;9554;Dorfplatz 1;46,7505046;14,170528;85471947;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Feldkirchen;Feldkirchen in Kärnten;7009,143088
MULTILINESTRING ((450895.160248622 5179460.34787446,452241.660496763 5178815.93415521));Sankt_Veit_an_der_Glan;9300;Hauptplatz 1;46,7668863;14,356892;84880037;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk St. Veit an der Glan;St. Veit an der Glan;1492,759847
MULTILINESTRING ((430973.152639876 5161405.98314341,429019.326153566 5163638.70613635));Schiefling_am_W�rthersee;9535;Pyramidenkogelstr. 150;46,6026671;14,0987152;85391848;substation;Kelag;110000;Umspannwerk Techelsbergen am Wörthersee (i.b.);Techelsbergen am Wörther See;2966,899038
MULTILINESTRING ((387044.072824174 5186119.40537012,385333.453307014 5185996.92666399));Seeboden_am_Millst�tter_See;9871;Hauptplatz 1;46,8190393;13,5192197;590581731;substation;KNG-Kärnten Netz GmbH;110000;UW Lieserbrücke;Seeboden am Millstätter See;1714,998591
MULTILINESTRING ((469095.955770135 5155301.14116374,460381.629375309 5156351.49502701));Sittersdorf;9133;Sittersdorf 100a;46,55056693;14,59687234;87246307;substation;KNG-Kärnten Netz GmbH;110000;Kraftwerk Freibach;Gallizien;8777,398689
MULTILINESTRING ((385274.63632384 5183851.52133547,386997.317265755 5182882.01236436));Spittal_an_der_Drau;9702;Burgplatz 5;46,7983351;13,4966003;86385664;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Spittal an der Drau;Spittal an der Drau;1976,759285
MULTILINESTRING ((350290.196457815 5194486.82128637,356136.885434797 5199562.05617431));Stall;9832;Stall 6;46,8870481;13,0349094;83823298;substation;;110000;Kraftwerk Außerfragant;Flattach;7742,20777
MULTILINESTRING ((421509.516428041 5170712.48367775,415294.552265776 5164793.75541872));Steindorf_am_Ossiacher_See;9552;10.-Oktober-Stra�e 1;46,6853658;13,9735846;84014731;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Landskron;Villach;8582,37285
MULTILINESTRING ((366204.251511106 5179742.25881837,366367.025040468 5179286.92078644));Steinfeld;9754;Hauptplatz 1;46,75781805;13,24800619;85489961;substation;;110000;Umspannwerk Steinfeld;Steinfeld;483,5575924
MULTILINESTRING ((432417.69173926 5181974.46757536,430492.718840136 5174417.04056659));Steuerberg;9560;Nr. 40;46,7878929;14,1145541;85471947;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Feldkirchen;Feldkirchen in Kärnten;7798,732183
MULTILINESTRING ((391573.371056258 5176046.02526134,392511.992338592 5177208.98581948));Stockenboi;9714;Zlan Nr. 2;46,7291683;13,5809598;84006669;substation;KELAG;110000;Kraftwerk Kamering;Stockenboi;1494,485588
MULTILINESTRING ((449101.547281223 5193757.6371755,446904.1725545 5191880.55572147));Stra�burg;9341;Hauptplatz 1;46,8954049;14,3318107;151942483;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gurk;Straßburg;2889,96375
MULTILINESTRING ((434807.1335015 5165677.02519993,429019.326153566 5163638.70613635));Techelsberg_am_W�rther_See;9212;Amtshaus St. Martin;46,6414829;14,14816715;85391848;substation;Kelag;110000;Umspannwerk Techelsbergen am Wörthersee (i.b.);Techelsbergen am Wörther See;6136,241399
MULTILINESTRING ((385772.855081733 5192922.11147635,388474.795282672 5196557.12272491));Trebesing;9852;Trebesing 15;46,88001913;13,50085851;642903514;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Gmünd;Gmünd in Kärnten;4529,214902
MULTILINESTRING ((412496.148791182 5168903.16422893,415294.552265776 5164793.75541872));Treffen_am_Ossiacher_See;9520;Marktplatz 2;46,6679686;13,8560837;84014731;substation;KNG-Kärnten Netz GmbH;110000;Umspannwerk Landskron;Villach;4971,750474
MULTILINESTRING ((426636.432177647 5162638.20333644,429019.326153566 5163638.70613635));Velden_am_W�rther_See;9220;Seecorso 2;46,6132947;14,0419029;85391848;substation;Kelag;110000;Umspannwerk Techelsbergen am Wörthersee (i.b.);Techelsbergen am Wörther See;2584,412806
MULTILINESTRING ((411690.334610493 5162808.39532094,412654.371668346 5160814.6251793));Villach;9587;Rathausplatz 1;46,6130251;13,8467176;211095612;substation;;110000;Umspannwerk Auen;Villach;2214,607601
