WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;building:levels/name;name/operator;operator;addr:street/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((96537.8947661129 5251349.72429604,93509.3718831871 5252987.25347897));R�this;6832;Schl��lestra�e 31;47,2911891;9,6633984;100478972;Umspannwerk Weiler - Klaus;Vorarlberger Energienetze GmbH;substation;110000;Weiler;3442,884354
MULTILINESTRING ((111166.209103767 5230752.41045764,111480.573594751 5227275.14724356));Sankt_Anton_im_Montafon;6771;Hnr. 124;47,11542505;9,873935;123174725;Umspannwerk Rodund I;Vorarlberger Illwerke AG;substation;;Vandans;3491,444471
MULTILINESTRING ((118059.929832072 5219764.50156012,114055.990464401 5225360.2614728));Sankt_Gallenkirch;6791;HNr. 4;47,0209557;9,9737452;129643773;Umspannwerk Tschagguns;Vorarlberger Energienetze GmbH;substation;110000;Tschagguns;6880,70196
MULTILINESTRING ((107648.850351003 5242773.11622513,107059.52771946 5235060.70106676));Sankt_Gerold;6722;Faschinastra�e 100;47,22107;9,8172614;102699327;Umspannwerk Bürs I;Vorarlberger Energienetze GmbH;substation;110000;Bürs;7734,898108
MULTILINESTRING ((96624.170572008 5243722.96794919,94442.1698515025 5243777.31797934));Satteins;6822;Kirchstra�e 15;47,22291125;9,67141395;32293834;Umspannwerk Frastanz;;substation;110000;Frastanz;2182,6775
MULTILINESTRING ((98567.6870277447 5241685.16761507,99553.980663303 5239987.44775153));Schlins;6824;Hauptstra�e 47;47,2058421;9,698799775;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;1963,422489
MULTILINESTRING ((117642.373693788 5256683.10605442,113528.73322546 5262501.52973154));Schnepfau;6882;Nr. 38;47,3516356;9,936821279;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;7125,734488
MULTILINESTRING ((100882.478214569 5242437.0371319,99553.980663303 5239987.44775153));Schnifis;6822;Jagdbergstra�e 200;47,21398725;9,728565741;119687430;Umspannwerk Nenzing;;substation;110000;Nenzing;2786,645632
MULTILINESTRING ((123375.274463979 5251899.92156766,113528.73322546 5262501.52973154));Schoppernau;6886;Unterdorf 2;47,3120822;10,0164841;116018035;Umspannwerk Andelsbuch;;substation;110000;Andelsbuch;14468,87936
MULTILINESTRING ((128691.155966179 5245476.06963437,137371.041977799 5256817.90555157));Schr�cken;6888;Heimboden 2;47,2575239;10,0918997;118248006;Umspannwerk Riezlern (i.b.);;substation;110000;Mittelberg;14282,07489
