WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;landuse/name;substation/voltage;location/operator;Polit. Gemeinde;distance
MULTILINESTRING ((319836.892247777 5184101.10379151,328282.063498463 5185568.76501211));Assling;9911;Unterassling 28;46,7861098;12,6395925;163096581;Kraftwerk Amlach (i.b.);;;Leisach;8571,752849
MULTILINESTRING ((306449.455330391 5254801.796625,303252.223421196 5259181.14481888));Aurach_bei_Kitzb�hel;6371;Oberaurach 6;47,417936;12,4339904;99841738;Umspannwerk Kitzbühel;;;Kitzbühel;5422,267283
MULTILINESTRING ((303900.424319547 5185059.24531507,316637.319342671 5199486.82927833));Au�ervillgraten;9931;Au�ervillgraten 136;46,7902289;12,43059644;85699549;UW Kienburg;110000;;Matrei in Osttirol;19245,3546
MULTILINESTRING ((218453.392396496 5237725.02679904,221048.547501661 5240510.86658091));Axams;6094;Sylvester-Jordan-Stra�e 12;47,232588;11,2803123;106098365;Umspannwerk Völs;110000;TIWAG;Völs;3807,326268
MULTILINESTRING ((152369.800451002 5245377.17629985,144636.086167374 5231942.64989408));Bach;6654;Oberbach 47;47,269602;10,4039006;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;15501,51078
MULTILINESTRING ((283100.908661994 5265882.90289786,280722.575313024 5266536.61016587));Bad_H�ring;6323;Obere Dorfstra�e 7;47,5101761;12,119386;105080874;Kraftwerk Kirchbichl (i.b.);110000;;Kirchbichl;2466,536582
MULTILINESTRING ((240239.854940764 5244252.59752768,242605.757109609 5244004.2778602));Baumkirchen;6121;Dorfstra�e 19;47,300197;11,5637969;312113570;Kraftwerk Haim;;;Wattens;2378,898007
MULTILINESTRING ((178649.200893098 5259003.92452005,179805.436860635 5268787.09566301));Berwang;6622;Berwang 82;47,40527698;10,74048211;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;9851,259779
MULTILINESTRING ((189917.072241298 5255880.12271453,189823.376323836 5255227.05679684));Biberwier;6633;Fernpa�stra�e 27;47,3826882;10,8916192;84622128;Umspannwerk Biberwier;;EWR;Biberwier;659,7529976
MULTILINESTRING ((182418.384263833 5260419.1438519,179805.436860635 5268787.09566301));Bichlbach;6621;Kirchhof 58;47,4198205;10,7892892;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;8766,419545
MULTILINESTRING ((219898.699141411 5237978.93363731,221048.547501661 5240510.86658091));Birgitz;6092;Dorfplatz 1;47,2354858;11,2992072;106098365;Umspannwerk Völs;110000;TIWAG;Völs;2780,79767
MULTILINESTRING ((264968.331709112 5228358.95565402,259912.025561335 5226911.21124978));Brandberg;6290;Brandberg 13;47,1667271;11,8987453;99858973;Kraftwerk Bösdornau (i.b.);;;Finkenberg;5259,48626
MULTILINESTRING ((266620.961300771 5265472.35039173,272025.542766025 5261541.84139136));Brandenberg;6234;Brandenberg 8 b;47,50078417;11,901053;94514064;Umspannwerk Kundl;110000;TIWAG-Netz AG;Kundl;6682,694203
MULTILINESTRING ((272011.267971252 5262807.79785902,272025.542766025 5261541.84139136));Breitenbach_am_Inn;6252;Dorf 94;47,478753;11,9739015;94514064;Umspannwerk Kundl;110000;TIWAG-Netz AG;Kundl;1266,036946
MULTILINESTRING ((178524.783311297 5268215.54967008,179805.436860635 5268787.09566301));Breitenwang;6600;Max-Kerber-Platz 1;47,4878727;10,7321445;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;1402,404484
MULTILINESTRING ((292656.608663705 5258838.34483032,294666.79344923 5259683.10379237));Brixen_im_Thale;6364;Dorfstra�e 93;47,4499787;12,249449;156990742;Umspannwerk Brixen;110000;TIWAG-Netz AG;Brixen in Tirol;2180,472558
MULTILINESTRING ((264624.384024752 5257688.74159964,263635.105022027 5258139.18811317));Brixlegg;6230;R�merstra�e 1;47,4301321;11,8787283;485429676;Umspannwerk Kramsach;110000;TIWAG;Kramsach;1087,002763
MULTILINESTRING ((262318.952512632 5253378.26690375,261436.853541757 5253621.10203438));Bruck_am_Ziller;6260;Dorf 40 a;47,39056875;11,8505157;84789829;Schaltwerk Strass;220000;;Schlitters;914,9139277
MULTILINESTRING ((256060.844276006 5252206.29579651,255248.660516804 5253525.58211617));Buch_in_Tirol;6220;St. Margarethen 108;47,3777331;11,7683684;30880774;Achenseekraftwerk (i.b.);;;Jenbach;1549,244607
MULTILINESTRING ((335133.00130819 5187952.05861022,333701.680962457 5188461.61650299));D�lsach;9991;D�lsach 64;46,82469682;12,83845481;162834614;Tiwag Netz AG Umspannwerk Debant;;Tiwag Netz AG;Nußdorf-Debant;1519,317998
MULTILINESTRING ((290898.853402092 5278949.59384169,289761.240262469 5280198.07788483));Ebbs;6341;Kaiserbergstra�e 7;47,6301634;12,2166018;83500268;Umspannwerk Wasserkraftwerk Oberaudorf-Ebbs (i.b.);;;Niederndorf;1689,045903
MULTILINESTRING ((254896.836251848 5257317.74635765,255248.660516804 5253525.58211617));Eben_am_Achensee;6215;Dorfstra�e 28;47,4232171;11,7501478;30880774;Achenseekraftwerk (i.b.);;;Jenbach;3808,449809
MULTILINESTRING ((176057.01237136 5266632.94430092,179805.436860635 5268787.09566301));Ehenbichl;6600;Schulweg 10;47,4724498;10,7006382;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;4323,315191
MULTILINESTRING ((192201.832236469 5257496.94163992,189823.376323836 5255227.05679684));Ehrwald;6632;Kirchplatz 1;47,3982796;10,92069;84622128;Umspannwerk Biberwier;;EWR;Biberwier;3287,76972
MULTILINESTRING ((154651.042339052 5247304.37205487,144636.086167374 5231942.64989408));Elbigenalp;6652;Dorf 55a;47,28809272;10,43247213;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;18337,98939
MULTILINESTRING ((229608.795215961 5231976.59074214,226958.550058888 5237742.9321219));Ellb�gen;6083;St. Peter 31;47,1856482;11,4308628;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;6346,21874
MULTILINESTRING ((296847.936394883 5265754.61149504,294381.970894887 5267146.88355091));Ellmau;6352;Dorf 20;47,5134621;12,3018024;94552553;Umspannwerk Ellmau;110000;;Ellmau;2831,855809
MULTILINESTRING ((163304.975585452 5252857.91959811,175917.97334348 5237591.53121288));Elmen;6644;Elmen Br. 2;47,34241361;10,54237128;100872499;110kV Freischaltanlage;110000;;Imsterberg;19802,78583
MULTILINESTRING ((288387.232788459 5284760.19898577,289761.240262469 5280198.07788483));Erl;6343;Dorf 39;47,6815667;12,1803984;83500268;Umspannwerk Wasserkraftwerk Oberaudorf-Ebbs (i.b.);;;Niederndorf;4764,540427
MULTILINESTRING ((171417.685548997 5223140.42393689,170910.688142686 5222000.04289397));Faggen;6525;Faggen 70;47,0798933;10,6712501;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;1248,004524
MULTILINESTRING ((172665.276052271 5218712.90841097,170910.688142686 5222000.04289397));Fendels;6528;Hnr. 40;47,0407838;10,69084635;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;3726,101427
MULTILINESTRING ((314965.710718651 5261080.71313699,321484.487608143 5260171.60353426));Fieberbrunn;6391;Dorfplatz 1;47,4768528;12,5441586;94790504;Umspannwerk Hochfilzen;110000;;Hochfilzen;6581,863901
MULTILINESTRING ((259229.357904878 5227130.41466796,259912.025561335 5226911.21124978));Finkenberg;6292;Dorf 140;47,1536153;11,8237958;99858973;Kraftwerk Bösdornau (i.b.);;;Finkenberg;716,9973973
MULTILINESTRING ((167252.454644221 5220627.6120845,170910.688142686 5222000.04289397));Fiss;6533;Via-Claudia-Augusta 35;47,0552628;10,6183923;100602290;Umspannwerk Prutz;"220000;110000";;Prutz;3907,203432
MULTILINESTRING ((206945.401517559 5244823.86998411,201891.028516555 5245237.25017945));Flaurling;6403;Salzstra�e 12;47,2912877;11,1239669;30884137;Umspannwerk Rietz;110000;;Rietz;5071,249315
MULTILINESTRING ((168442.451894309 5227746.22977589,163683.984437627 5230595.80189101));Flie�;6521;Dorf 87;47,119732;10,6287831;102601926;Umspannwerk Landeck;110000;TIWAG;Landeck;5546,446951
MULTILINESTRING ((152290.026702897 5231534.48757913,158562.1639262 5228221.11320397));Flirsch;6572;Dorf 109;47,14539756;10,41358761;580543598;UW Tobadill;"110000;25000";TiNetz;Tobadill;7093,5291
MULTILINESTRING ((167096.909546651 5261159.50351642,179805.436860635 5268787.09566301));Forchach;6670;Nr. 41;47,41883044;10,5861964;26703085;Umspannwerk Breitenwang (i.b.);110000;;Breitenwang;14821,8362
MULTILINESTRING ((242192.090280871 5244914.76432418,242605.757109609 5244004.2778602));Fritzens;6122;Bergstra�e 2;47,3069157;11,5891916;312113570;Kraftwerk Haim;;;Wattens;1000,052922
MULTILINESTRING ((262011.513635919 5248557.56610097,262886.15072973 5249563.93402539));F�gen;6263;Hauptstra�e 58;47,347145;11,8490314;89425769;Umspannwerk Fügen;110000;TIWAG;Fügen;1333,329084
MULTILINESTRING ((261625.790291387 5247556.54057684,262886.15072973 5249563.93402539));F�genberg;6264;Pankrazbergstra�e 1;47,3380108;11,84446889;89425769;Umspannwerk Fügen;110000;TIWAG;Fügen;2370,260933
MULTILINESTRING ((223138.207194051 5228670.44442384,226958.550058888 5237742.9321219));Fulpmes;6166;Bahnstra�e 9;47,1532678;11,3476664;145583866;Umspannwerk Vill;110000;TIWAG;Innsbruck;9844,0364
MULTILINESTRING ((330002.900143801 5190120.03905778,332640.43648021 5188061.46138136));Gaimberg;9905;Dorfstra�e 32;46,8429022;12,7704396;162826525;Umspannwerk Lienz;"220000;110000";Austrian Power Grid AG;Lienz;3345,794371
MULTILINESTRING ((255255.755746687 5250796.73745868,255248.660516804 5253525.58211617));Gallzein;6222;58a;47,36476897;11,7584972;30880774;Achenseekraftwerk (i.b.);;;Jenbach;2728,853882
MULTILINESTRING ((133947.896891749 5212913.25340533,144636.086167374 5231942.64989408));Galt�r;6563;Galt�r 39;46,96849622;10,18758651;100619811;Umspannwerk Sankt Jakob;110000;;St. Anton am Arlberg;21825,56576
