WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;location/substatoin;name/operator;operator;substation/voltage;Polit. Gemeinde;distance
MULTILINESTRING ((477683.17749673 5359968.13640632,462973.208721925 5356404.63162904));Sch�nau_im_M�hlkreis;4274;Sch�nau 2;48,39247995;14,698535;95843031;Umspannwerk Friensdorf;Linz Strom AG;substation;110000;Wartberg ob der Aist;15135,44673
MULTILINESTRING ((395717.810176132 5311309.70163778,397021.295222577 5315383.57059721));Sch�rfling_am_Attersee;4861;Marktplatz 32;47,9466079;13,6034575;118098478;Umspannwerk Lenzing;;substation;;Lenzing;4277,321775
MULTILINESTRING ((348896.618142107 5338074.01203572,354076.179694068 5342754.89171402));Schwand_im_Innkreis;5134;Neukirchner Stra�e 2;48,1779251;12,9673176;96323087;Umspannwerk Braunau am Inn;;substation;;Braunau am Inn;6981,295899
MULTILINESTRING ((408651.920959212 5323074.17978998,410675.431326685 5318980.78299154));Schwanenstadt;4690;Stadtplatz 54;48,0544063;13,7741218;34258314;Umspannwerk Traunfall;;substation;110000;Roitham am Traunfall;4566,233848
MULTILINESTRING ((414841.573284025 5398757.35822193,425762.597979082 5378618.29438513));Schwarzenberg_am_B�hmerwald;4164;Schwarzenberg am Bw. 185;48,73601365;13,8418176;98308316;Umspannwerk Rohrbach-Berg (i.b.);;substation;110000;Rohrbach-Berg;22909,61965
MULTILINESTRING ((469054.041253597 5346841.21076342,465767.077176729 5343162.33881871));Schwertberg;4311;Schacherbergstra�e 3;48,2740201;14,582936;95828347;Umspannwerk Mauthausen;Linz AG;substation;110000;Mauthausen;4933,379331
MULTILINESTRING ((394362.04808745 5312199.08542879,397021.295222577 5315383.57059721));Seewalchen_am_Attersee;4863;Rathausplatz 1;47,9543853;13,5850885;118098478;Umspannwerk Lenzing;;substation;;Lenzing;4148,799961
MULTILINESTRING ((382562.264870159 5346568.10666477,389677.978809151 5340781.44565609));Senftenbach;4973;Berg 22;48,2614313;13,4176391;81216242;Umspannwerk Ried;;substation;110000;Hohenzell;9171,631834
MULTILINESTRING ((448522.162298863 5321536.1491443,440922.881626302 5322041.29268108));Sierning;4523;Kirchenplatz 1;48,0450323;14,3093039;95025698;Umspannwerk Bad Hall;;substation;110000;Bad Hall;7616,051256
MULTILINESTRING ((396317.216209305 5361250.59926652,385366.007561848 5367261.26050209));Sigharting;4771;Hofmark 5;48,3958861;13,5993004;95975628;Umspannwerk Aigerding;Energie AG;substation;110000;St. Florian am Inn;12492,27839
MULTILINESTRING ((433368.552530732 5328491.31479862,430074.614552559 5335090.8112534));Sipbachzell;4621;Gemeinde Sipbachzell;48,10619869;14,10492077;40917240;EWW - Umspannwerk Ost;EWW;substation;110000;Wels;7375,864753
MULTILINESTRING ((447779.225039446 5367609.31693118,448174.85574361 5352631.10442904));Sonnberg_im_M�hlkreis;4180;Sonnberg 70;48,4594513;14,2936507;24830381;Umspannwerk Nord;LINZ AG;substation;110000;Linz;14983,43664
MULTILINESTRING ((450499.861195029 5279224.56986212,463921.690666356 5304421.91374727));Spital_am_Pyhrn;4582;Stiftsplatz 7;47,6645193;14,3406811;42306133;Umspannwerk Großraming;;substation;110000;Reichraming;28549,10936
MULTILINESTRING ((415778.696037659 5326541.6678168,418100.149659851 5328386.32567644));Stadl-Paura;4651;Marktplatz 1;48,086578;13,8690587;118132395;Umspannwerk Lambach;Energie AG;substation;110000;Edt bei Lambach;2965,115434
MULTILINESTRING ((409006.14513791 5355370.03772768,412292.417524792 5343247.1638294));Steegen;4722;Badergasse 5;48,3449522;13,7719499;95024146;Umspannwerk Grieskirchen;Energie AG;substation;110000;Grieskirchen;12560,40038
MULTILINESTRING ((391174.493657074 5298567.7337173,384375.966818374 5295742.9659758));Steinbach_am_Attersee;4853;Steinbach 5;47,831245;13,5458459;95297285;Umspannwerk Unterach;Energie AG;substation;110000;Unterach am Attersee;7362,016026
