WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((569217.33616913 5337850.01142897,567323.359915185 5339589.64881279));Maria-Anzbach;3034;Marktplatz 22;48,19011155;15,93133364;42330333;substation;Umspannwerk Neulengbach;110000;;Neulengbach;2571,669551
MULTILINESTRING ((605901.334004762 5328406.76978193,605675.711652691 5331046.93862996));Maria-Lanzendorf;2326;Hauptstra�e 14;48,1001198;16,4224445;27795895;Austrian Power Grid AG;Umspannwerk Wien Südost;;;Wien;2649,791877
MULTILINESTRING ((537252.837259243 5337846.86193633,545100.345377189 5338662.64673369));Markersdorf-Haindorf;3385;Marktplatz 4;48,192763;15,5012688;85620021;substation;Umspannwerk St. Pölten;110000;;St. Pölten;7889,79648
MULTILINESTRING ((621081.181493373 5347254.7138776,620459.367227897 5355185.91406213));Markgrafneusiedl;2282;Altes Dorf 49;48,26692015;16,63162905;123444716;substation;Umspannwerk Bockfließ;110000;EVN;Bockfließ;7955,538281
MULTILINESTRING ((584404.47118736 5302815.03431891,588792.201931584 5300229.93043453));Markt_Piesting;2753;Marktplatz 1;47,8731217;16,1287378;123121995;substation;Umspannwerk Wöllersdorf-Steinabrückl;110000;;Wöllersdorf-Steinabrückl;5092,636172
MULTILINESTRING ((511517.126246281 5358293.14200292,519038.711898816 5349895.53807386));Martinsberg;3665;Martinsberg 6;48,37770053;15,15553307;90904770;substation;Umspannwerk Am Schuss;;EVN;Weiten;11273,59758
MULTILINESTRING ((625341.698360461 5362422.84721187,626961.377531279 5355952.60991305));Matzen-Raggendorf;2223;Hauptplatz 1;48,4024944;16,6935286;96346322;substation;Umspannwerk Gänserndorf;110000;EVN;Gänserndorf;6669,882407
MULTILINESTRING ((590772.386578494 5304988.89398301,588571.474215591 5308571.27038072));Matzendorf-H�lles;2603;Badenerstra�e 19;47,8918077;16,2143336;69859724;substation;Umspannwerk Enzesfeld;110000;Wien Energie;Enzesfeld-Lindabrunn;4204,454291
MULTILINESTRING ((586683.157621756 5344428.03791102,591900.288804487 5339350.78106016));Mauerbach;3400;Hauptstra�e 246;48,2471369;16,1676393;26209260;Wien Energie GmbH;Umspannwerk Wien West;;;Wien;7279,903496
MULTILINESTRING ((542895.318635605 5360667.36939088,544872.167151988 5361673.36285132));Mautern_an_der_Donau;3512;Rathausplatz 1;48,3977062;15,57950815;94239516;substation;Umspannwerk Mitterau (i.b.);110000;EVN;Krems an der Donau;2218,096684
MULTILINESTRING ((555319.132478574 5390372.2623562,561261.051543603 5390367.76142984));Meiseldorf;3751;Klein-Meiseldorf 115;48,6639513;15,7512812;95211290;substation;Umspannwerk Eggenburg;110000;;Röschitz;5941,92077
MULTILINESTRING ((524662.9832673 5341598.31922601,520028.208511981 5340571.50839357));Melk;3390;Rathausplatz 11;48,2271276;15,33208339;30244554;substation;Umspannwerk Bergern;110000;"EVN;Verbund Austrian Power Grid AG";Zelking-Matzleinsdorf;4747,154676
MULTILINESTRING ((556704.078963593 5328095.40971638,557293.112612108 5320301.97898471));Michelbach;3074;Markt 7;48,10359829;15,76168272;91117108;substation;Umspannwerk Hainfeld;110000;EVN;Hainfeld;7815,658847
MULTILINESTRING ((569793.967193688 5348957.01857947,565613.633203322 5353239.92441524));Michelhausen;3451;Tullner Stra�e 16;48,2899626;15,94092188;59531071;substation;Umspannwerk Dürnrohr;"380000;220000;110000";"EVN;Verbund Austrian Power Grid AG";Zwentendorf an der Donau;5984,853772
MULTILINESTRING ((573593.469659798 5300820.7970702,578957.545144307 5302136.68766567));Miesenbach;2761;Miesenbach 240;47,85651155;15,98384678;106530735;substation;Umspannwerk Waldegg;110000;;Waldegg;5523,12175
MULTILINESTRING ((615992.33620713 5380931.04552419,616265.004017724 5379833.17682198));Mistelbach;2130;Hauptplatz 6;48,57072905;16,57239614;128734659;substation;Umspannwerk Mistelbach;110000;;Mistelbach;1131,222092
