wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (14.02691350000000092 46.56769689999998718, 14.02685089999999946 46.56784019999999913, 14.02681510000000209 46.56792219999999816);597072458;1.0;;110000;0;;;26,15
LineString (13.69342269999999928 46.56160029999999495, 13.69403420000000082 46.56170600000000093);596179163;1.0;UW Vorderberg - UW Gailitz;110000;1;113/5A;KNG-Kärnten Netz GmbH;48,32
LineString (13.69342269999999928 46.56160029999999495, 13.69406230000000058 46.56162499999998516);596179159;1.0;UW Vorderberg - UW Gailitz;110000;1;113/6A;KNG-Kärnten Netz GmbH;49,11
LineString (13.69543580000000205 46.56151939999998746, 13.69471420000000172 46.56156859999999398);596179158;1.0;"Fürnitz- Gailitz;Siemens - Gailitz";110000;1;113/3B;KNG-Kärnten Netz GmbH;55,58
LineString (14.02687090000000047 46.56768829999999326, 14.02691350000000092 46.56769689999998718, 14.02703960000000016 46.56772250000000213, 14.02720749999999938 46.56775649999999445);597072464;1.0;;110000;0;;;26,89
LineString (13.37993190000000077 46.62846539999999607, 13.3799273000000003 46.62856639999999686, 13.37992520000000063 46.62861350000000016, 13.37992269999999984 46.62866799999999756);596175884;1.0;;110000;0;;;22,53
LineString (13.3796324000000002 46.62860599999998357, 13.37968900000000083 46.6286075000000011, 13.37992520000000063 46.62861350000000016, 13.38005800000000001 46.62861690000000436, 13.38011649999999975 46.62861840000000058);596175881;1.0;;110000;0;;;37,09
LineString (13.37962970000000062 46.62866169999998789, 13.37968599999999952 46.62866290000000191, 13.37992269999999984 46.62866799999999756, 13.38005549999999921 46.62867090000001014, 13.38012050000000031 46.62867229999999097);596175879;1.0;;110000;0;;;37,6
LineString (13.3798408000000002 46.6280557999999985, 13.37993190000000077 46.62846539999999607);596175875;1.0;UW Hermagor - UW Tröpolach / UW Vorderberg;110000;1;113/6B;KNG-Kärnten Netz GmbH;46,05
LineString (13.53250889999999984 46.58681060000000684, 13.5325627000000015 46.58679450000000344, 13.53270840000000064 46.58675099999999958, 13.5327604000000008 46.58673540000000912);596178187;1.0;;110000;0;;;21
LineString (13.53265140000000066 46.58694260000000043, 13.53288140000000084 46.58721570000000156);596178186;1.0;UW Vorderberg - UW Hermagor / UW Gailitz;110000;1;113/5A;KNG-Kärnten Netz GmbH;35,1
LineString (13.53279719999999919 46.58690500000000867, 13.53274790000000039 46.58681949999999716, 13.53270840000000064 46.58675099999999958);596178185;1.0;;110000;0;;;18,42
LineString (13.37969679999999961 46.6284599999999898, 13.37969129999999929 46.62856360000000677, 13.37968900000000083 46.6286075000000011, 13.37968599999999952 46.62866290000000191);596175887;1.0;;110000;0;;;22,57
LineString (13.69403420000000082 46.56170600000000093, 13.6941954999999993 46.56173450000000003, 13.6943231999999977 46.56175710000000123);596179153;1.0;;110000;0;;;22,87
LineString (13.69406230000000058 46.56162499999998516, 13.69422740000000083 46.56165520000000413, 13.69435400000000058 46.56167839999999103);596179152;1.0;;110000;0;;;23,13
LineString (13.53288140000000084 46.58721570000000156, 13.53279719999999919 46.58690500000000867);596178189;1.0;UW Vorderberg - UW Hermagor / UW Gailitz;110000;1;113/5B;KNG-Kärnten Netz GmbH;35,13
LineString (13.53247070000000107 46.5866410000000073, 13.53252349999999993 46.58672909999999945, 13.5325627000000015 46.58679450000000344, 13.53260329999999989 46.58686240000001533, 13.53265140000000066 46.58694260000000043);596178188;1.0;;110000;0;;;36,27
LineString (13.69543580000000205 46.56151939999998746, 13.69477799999999945 46.56141110000000083);596179157;1.0;"Fürnitz- Gailitz;Siemens - Gailitz";110000;1;113/4B;KNG-Kärnten Netz GmbH;51,84
LineString (13.69431179999999948 46.56178619999997892, 13.6943231999999977 46.56175710000000123, 13.69435400000000058 46.56167839999999103, 13.69438560000000216 46.56159739999998948, 13.69441810000000004 46.56151429999999891, 13.6944505000000003 46.56143159999999881, 13.69448030000000038 46.56135530000000955, 13.6945130000000006 46.56127170000000604);596179156;1.0;;110000;0;;;59,22
LineString (13.69471420000000172 46.56156859999999398, 13.69462110000000088 46.5615514999999931, 13.69441810000000004 46.56151429999999891);596179155;1.0;;110000;0;;;23,49
LineString (13.69477799999999945 46.56141110000000083, 13.6946809000000016 46.56139279999999303, 13.69448030000000038 46.56135530000000955);596179154;1.0;;110000;0;;;23,65
LineString (13.07068210000000263 46.64908360000000442, 13.07083270000000041 46.64909269999999708, 13.07092929999999953 46.64909860000000918, 13.07103180000000009 46.64910480000001058);596146268;1.0;;110000;0;;;26,87
LineString (13.07010380000000005 46.64865919999999022, 13.07066640000000035 46.64899779999999652);596146272;1.0;;110000;1;113/8;KNG-Kärnten Netz GmbH;57,19
