WKT;full_id;osm_id;osm_type;frequency;local_wiki;name;operator;plant_meth;plant_outp;plant_sour;power;voltage;wikidata;disused_pl;plant_ou_1;website;wikipedia;bicycle;bridge;foot;highway;horse;layer;maxweight;motor_vehi;surface;barrier;name_en;start_date;generator_;addr_city;addr_count;addr_house;addr_place;addr_postc;addr_stree;addr_subur;at_bev_add;contact_fa;contact_ph;contact_we;generato_1;generato_2;generato_3;generato_4;plant_ou_2;generato_5;capacity;diameter;flow_direc;location;man_made;pressure;substance;usage;waterway;descriptio;generato_6;plant_ou_3;email;phone;constructi;canal;direction;tunnel;OBJECTID;BL_KZ;BL;ST_KZ;ST;FL;FL_KM;STAND;Shape__Are;Shape__Len
POINT (11.7582313073682 47.3879789751588);w878661844;878661844;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (12.0788725210086 47.5104751334675);w880516680;880516680;way;;;Kraftwerk Kirchbichl Dotieranlage;Tiroler Wasserkraft AG;run-of-the-river;;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (14.7048184113253 47.9579498163777);w881019378;881019378;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.7046807511464 47.9578908152557);w881019379;881019379;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.7045345947849 47.9578385486054);w881019380;881019380;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (14.6433616398836 47.8479177270973);w881470500;881470500;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (14.6434800391879 47.84807599032);w881470501;881470501;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.99800995 48.4820037);w888586639;888586639;way;;;Druckstollen KW Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2800;;underground;pipeline;;water;headrace;canal;;;;;;;pressurised;forward;flooded;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9905149297488 48.4574701006848);w888586640;888586640;way;;;Druckstollen KW Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2800;;underground;pipeline;;water;headrace;canal;;;;;;;pressurised;forward;flooded;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.99694515 48.4782484);w888586641;888586641;way;;;Druckstollen KW Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2800;;underground;pipeline;;water;headrace;canal;;;;;;;pressurised;forward;flooded;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
