WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (17.0576129 47.8127429);n2123478219;2123478219;node;wind_turbine;;3 MW;wind;generator;W-07265-019;;;;120,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0461245 47.8140896);n2123478220;2123478220;node;wind_turbine;;3 MW;wind;generator;W-07265-016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0522085 47.8145733);n2123478222;2123478222;node;wind_turbine;;3 MW;wind;generator;W-07265-017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0395097 47.8149327);n2123478223;2123478223;node;wind_turbine;;3 MW;wind;generator;W-07265-010;;;;122,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0262146 47.8159207);n2123478224;2123478224;node;wind_turbine;;3 MW;wind;generator;W-07265-038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0588568 47.8168797);n2123478225;2123478225;node;wind_turbine;;3 MW;wind;generator;W-07265-018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0316691 47.8174264);n2123478226;2123478226;node;wind_turbine;;3 MW;wind;generator;W-07265-012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0456357 47.8178259);n2123478227;2123478227;node;wind_turbine;;3 MW;wind;generator;W-07265-009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0536448 47.8185806);n2123478229;2123478229;node;wind_turbine;;3 MW;wind;generator;W-07265-008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0375124 47.819023);n2123478231;2123478231;node;wind_turbine;;3 MW;wind;generator;W-07265-013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
