full_id;osm_id;osm_type;barrier;location;substation;access;name;plant:source;power;addr:city;addr:country;addr:housenumber;addr:place;addr:postcode;operator;contact:fax;contact:phone;contact:website;frequency;generator:method;generator:output:electricity;generator:output:hot_water;generator:source;email;phone;website;plant:method;plant:output:electricity;wikidata;wikipedia;plant:output:hot_water;landuse;voltage;building;name:abbreviation;addr:street;addr:suburb;ref;description:de;substance;building:levels;height;building:material;roof:material;source:geometry;roof:shape;service;start_date;transformer;voltage:secondary;commissioning;gas_insulated;rating;designation;alt_name;at_bev:addr_date;roof:levels;street_cabinet;man_made
288192555;way;;;UW Greinsfurth 3 (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
288192561;way;;;UW Greinsfurth 4 (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
288192567;way;;;UW Greinsfurth 5 (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
258105463;way;;;UW Greinsfurth-Hart (ib);;Netz Niederösterreich GmbH;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;TST Winklarn Harterstraße;;;;;;;;;;;;;;;;;;;;;
400874660;way;;;UW Greinsfurth-Hof (ib);;EVN;substation;;;AT;1a;3300;;;Amstetten;;;;;;;;;;;;;;;;;;yes;;;;;;Höf;;;;;;;;;;;;;;;;;;;;
255612592;way;;;UW Greis (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
316151202;way;;;UW Haag (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;
317018403;way;;;UW Haag 2 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;
316935343;way;;;UW Haag 3 (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;
532824968;way;;;UW Hart 2 (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
330102887;way;;;UW Höflein an der Donau (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
126246362;way;;;UW Hollabrunn Mitte (ib);;EVN;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
697586214;way;;;UW Industriegebiet Hagenbrunn (ib);;;substation;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;
